opis,opis_code,delo,portal_id,name,pages,expected,status
Опись 1,1,0029,29,"Юношеские работы К.Э. Циолковского [Некоторая иллюстрация к ""Грезам""]. Чертежи с пояснениями к ним, составленными в феврале 1923 г. Вид материала: чертежи Способ воспроизведения: автограф Языки: русский",45,45,ok
Опись 1,1,0030,30,"Вычисления и формулы К.Э. Циолковского, относящиеся к вопросу о межпланетных сообщениях. [""Вопрос о вечном блаженстве""]. Вид материала: вычисления, формулы Способ воспроизведения: автограф Языки: русский",11,11,ok
Опись 1,1,0031,31,"Статья К.Э. Циолковского ""Свободное пространство"". Вид материала: статья Способ воспроизведения: автограф Языки: русский",140,140,ok
Опись 1,1,0032,32,"Фрагменты рукописей К.Э. Циолковского ""Ракета"" 1897, 1902, 1903, 1911 гг. Вид материала: фрагменты рукописей Способ воспроизведения: автограф Языки: русский",43,43,ok
Опись 1,1,0033,33,"Статья К.Э. Циолковского ""Реактивный прибор, как средство полета в пустоте и в атмосфере"". Опубликована в журнале ""Воздухоплаватель"" [№2 за 1910 г., стр. 110-113]. Вид материала: статья Способ воспроизведения: автограф Языки: русский",16,16,ok
Опись 1,1,0034,34,"Статья К.Э. Циолковского ""Исследование небесных пространств реактивными приборами"". Вид материала: статья Способ воспроизведения: автограф Языки: русский",176,176,ok
Опись 1,1,0035,35,"Cтатья К.Э. Циолковского ""Реактивный прибор - ракета"". Напечатана в журнале ""Вестник воздухоплавания"" [№№ 2, 3, 5, 6, 7, 9 за 1911 - 1912 гг.]. ""Исследование мировых пространств реактивными приборами"" 1903 года. Вид материала: статья Способ воспроизведения: автограф Языки: русский",208,208,ok
Опись 1,1,0036,36,"Начало научно-популярной повести К.Э. Циолковского ""В двухтысячном году [К ракете]"", впоследствии развернутой в книге ""Вне Земли"". Вид материала: повесть Способ воспроизведения: автограф Языки: русский",24,24,ok
Опись 1,1,0037,37,"Отрывки вычислений К.Э. Циолковского ""Ракета"". Вид материала: отрывки вычислений Способ воспроизведения: автограф Языки: русский",38,38,ok
Опись 1,1,0038,38,"Предисловие к повести К.Э. Циолковского ""Вне Земли"". Материал для предисловия [от меня или редакции]. Приложена машкопия с комментариями Б.Н. Воробьева. Вид материала: предисловие к повести Способ воспроизведения: автограф Языки: русский",13,13,ok
Опись 1,1,0039,39,"Набросок статьи К.Э. Циолковского ""План ""Ракеты"". Вид материала: набросок статьи Способ воспроизведения: автограф Языки: русский",5,5,ok
Опись 1,1,0040,40,"Статья К.Э. Циолковского ""Космическая ракета. Завоевание Солнечной системы"". Вид материала: статья Способ воспроизведения: автограф Языки: русский",19,19,ok
Опись 1,1,0041,41,"Дополнение к статье К.Э. Циолковского ""Ракета. Формулы"". ""Реактивный прибор - ракета"". Вид материала: добавление к статье Способ воспроизведения: автограф Языки: русский",32,32,ok
Опись 1,1,0042,42,"Формулы К.Э. Циолковского ""Атмосфера - ракета - труба"". Вид материала: формулы Способ воспроизведения: автограф Языки: русский",5,5,ok
Опись 1,1,0043,43,"Статья К.Э. Циолковского ""Ракета. [Реактивный прибор пушечного типа или ракетного типа]"". Вид материала: статья Способ воспроизведения: автограф Языки: русский",36,36,ok
Опись 1,1,0044,44,"Статья К.Э. Циолковского ""Аэроплан - крыло - ракета"" и материалы к ней. Вид материала: материалы к ней, статья Способ воспроизведения: автограф Языки: русский",82,82,ok
Опись 1,1,0045,45,"Статья К.Э. Циолковского ""Исследование мировых пространств реактивными приборами"", таблицы, формулы и материалы к ней. Вид материала: материалы к ней, статья, таблицы Способ воспроизведения: автограф Языки: русский",126,126,ok
Опись 1,1,0046,46,"Статья К.Э. Циолковского ""Космический корабль"". 1-й вариант. Вид материала: статья Способ воспроизведения: автограф, машинопись с правкой автора Языки: русский",185,185,ok
Опись 1,1,0047,47,"Статья К.Э. Циолковского ""Космический корабль"". 2-й вариант. Вид материала: статья Способ воспроизведения: автограф Языки: русский",174,174,ok
Опись 1,1,0048,48,"Конспективные записи К.Э. Циолковского ""Ракета. Взрывная труба"" расчетов и формул. Вид материала: расчёты, формулы Способ воспроизведения: автограф Языки: русский",7,7,ok
Опись 1,1,0049,49,"Набросок письма и статья К.Э. Циолковского ""Ракета"" для журнала ""Огонек"". [первоначальный вариант]. Вид материала: набросок письма, статья Способ воспроизведения: автограф Языки: русский",30,30,ok
Опись 1,1,0050,50,"Статья К.Э. Циолковского ""Заатмосферные путешествия. [Ракета]"" для журнала ""Огонек"" [окончательный вариант]. Один из них исправлен в 1926 г. Вид материала: статья Способ воспроизведения: автограф Языки: русский",122,122,ok
Опись 1,1,0051,51,"Статья К.Э. Циолковского ""Аэроплан - ракета"" [Новый самолет для больших высот и скоростей] и материалы к ней. Вид материала: материалы к ней, статья Способ воспроизведения: автограф Языки: русский",175,175,ok
Опись 1,1,0052,52,"Программа лекций К.Э. Циолковского ""Космическая ракета или снаряд для вселенских путешествий и иных целей"". Вид материала: программа лекций Способ воспроизведения: автограф Языки: русский",5,5,ok
Опись 1,1,0053,53,Письмо [О приоритете К.Э. Циолковского в вопросе о возвращении ракеты на Землю без затраты взрывчатого вещества]. Вид материала: письмо Способ воспроизведения: автограф Языки: русский,4,4,ok
Опись 1,1,0054,54,"Предисловие К.Э. Циолковского к книге Н.А. Рынина ""История работ К.Э. Циолковского по ракетным кораблям"". Вид материала: предисловие к книге Способ воспроизведения: автограф, машинопись с правкой автора Языки: русский",26,26,ok
Опись 1,1,0055,55,"Черновой набросок К.Э. Циолковского ""Скорый поезд"" к работе ""Труды о космической ракете"". Вид материала: черновой набросок Способ воспроизведения: автограф Языки: русский",7,7,ok
Опись 1,1,0056,56,"Статья К.Э. Циолковского ""Завоевание солнечной системы. [Научная фантазия]"" [не окончена]. Вид материала: статья Способ воспроизведения: машинопись с правкой автора Языки: русский",99,99,ok
Опись 1,1,0057,57,"Вставки к работе К.Э. Циолковского ""Завоевание солнечной системы"". Вид материала: вставки к работе Способ воспроизведения: автограф, машинопись Языки: русский",35,35,ok
Опись 1,1,0058,58,"Статья К.Э. Циолковского ""Реактивный аэроплан"". Вид материала: статья Способ воспроизведения: машинопись с правкой автора Языки: русский",18,18,ok
Опись 1,1,0059,59,"Статья К.Э. Циолковского ""Главные выводы из моего сочинения ""Новый аэроплан"". Вид материала: статья Способ воспроизведения: машинопись с правкой автора Языки: русский",5,5,ok
Опись 1,1,0060,60,"Статья К.Э. Циолковского ""Труды о космической ракете"" [1903 - 1927 гг.]. Вид материала: статья Способ воспроизведения: машинопись с правкой автора Языки: русский",54,54,ok
Опись 1,1,0061,61,"Статья К.Э. Циолковского ""Возможно ли посещение планет"", [""Доступны ли планеты""], [""Достижимы ли иные планеты""]. [Ответ подписчику ""Вестника знания""]. Вид материала: статья Способ воспроизведения: машинопись с правкой автора Языки: русский",22,22,ok
Опись 1,1,0062,62,"Фрагмент К.Э. Циолковского ""Формулы движения снаряда"". Вид материала: фрагмент Способ воспроизведения: автограф Языки: русский",5,5,ok
Опись 1,1,0063,63,"Формулы К.Э. Циолковского ""Восходящее ускоренное движение ракетоплана"". Вид материала: формулы Способ воспроизведения: автограф Языки: русский",29,29,ok
Опись 1,1,0064,64,"Статья К.Э. Циолковского ""Восходящее ускоренное движение ракетоплана"". Вид материала: статья Способ воспроизведения: машинопись с правкой автора Языки: русский",135,135,ok
Опись 1,1,0065,65,"Статья К.Э. Циолковского ""От самолета к звездолету"". Вид материала: статья Способ воспроизведения: машинопись с правкой автора Языки: русский",56,56,ok
Опись 1,1,0066,66,"Статья К.Э. Циолковского ""Стратоплан полуреактивный"". Вид материала: статья Способ воспроизведения: машинопись с правкой автора Языки: английский, немецкий, русский",71,71,ok
Опись 1,1,0067,67,"Таблицы, формулы, рисунки К.Э. Циолковского ""Стратоплан [полуреактивный]"". Вид материала: рисунки, таблицы, формулы Способ воспроизведения: автограф, машинопись с правкой автора Языки: русский",96,96,ok
Опись 1,1,0068,68,"Статья К.Э. Циолковского ""Звездоплавателям"". Вид материала: статья Способ воспроизведения: машинопись с правкой автора Языки: русский",17,17,ok
Опись 1,1,0069,69,"Черновые чертежи и таблицы к работе К.Э. Циолковского ""Стратоплан"". Вид материала: таблицы, черновые чертежи Способ воспроизведения: автограф, машинопись с правкой автора Языки: русский",77,77,ok
Опись 1,1,0070,70,Формулы стратоплана К.Э. Циолковского. Вид материала: формулы Способ воспроизведения: автограф Языки: русский,24,24,ok
Опись 1,1,0071,71,"Статья К.Э. Циолковского ""Ускорение аэроплана высот от пропеллера"" [окончание труда ""Стратоплан полуреактивный""]. Вид материала: статья Способ воспроизведения: машинопись с правкой автора Языки: английский, русский",136,136,ok
Опись 1,1,0072,72,"Статья К.Э. Циолковского ""За атмосферу"". Вид материала: статья Способ воспроизведения: машинопись с правкой автора Языки: русский",69,69,ok
Опись 1,1,0073,73,"Статья К.Э. Циолковского ""Реактивное движение и его успехи"". Вид материала: статья Способ воспроизведения: машинопись с правкой автора Языки: русский",21,21,ok
Опись 1,1,0074,74,"Статья К.Э. Циолковского ""Реактивное движение"" [ответ редакции газеты ""Гудок"" на письмо от 28 апреля 1932 г.]. Опубликована в журнале ""В бой за технику"" [№№ 15-16, 1932 г.]. Вид материала: статья Способ воспроизведения: машинопись с правкой автора Языки: русский",111,111,ok
Опись 1,1,0075,75,"Статья К.Э. Циолковского ""Достижение стратосферы"". Вид материала: статья Способ воспроизведения: машинопись с правкой автора Языки: русский",61,61,ok
Опись 1,1,0076,76,"Лекция К.Э. Циолковского ""Звездоплавание"". Вид материала: лекция Способ воспроизведения: машинопись с правкой автора Языки: русский",36,36,ok
Опись 1,1,0077,77,"Рисунки К.Э. Циолковского ""Скорый трамвайный вагон [для целей звездоплавания]"". Вид материала: рисунки Способ воспроизведения: автограф Языки: русский",3,3,ok
Опись 1,1,0078,78,"Статья К.Э. Циолковского ""Скорый вагон"". Вид материала: статья Способ воспроизведения: автограф Языки: русский",17,17,ok
Опись 1,1,0079,79,"Статья К.Э. Циолковского ""Полет в стратосфере"". Вид материала: статья Способ воспроизведения: машинопись с правкой автора Языки: русский",13,13,ok
Опись 1,1,0080,80,"Статья К.Э. Циолковского ""Быстроходный аэроплан высот [Суперавиация]"". Вид материала: статья Способ воспроизведения: машинопись Языки: русский",13,13,ok
Опись 1,1,0081,81,"Статья К.Э. Циолковского ""Высотный самолет или стратоплан"". Опубликована в журнале ""Хочу все знать"". Вид материала: статья Способ воспроизведения: машинопись с правкой автора Языки: русский",11,11,ok
Опись 1,1,0082,82,"Статья К.Э. Циолковского ""Вращение тел, наибольшая скорость и запас механической энергии"". Вид материала: статья Способ воспроизведения: машинопись с правкой автора Языки: русский",29,29,ok
Опись 1,1,0083,83,"Статья К.Э. Циолковского ""Взрывчатые вещества для реактивного прибора [звездолета]"". Вид материала: статья Способ воспроизведения: машинопись с правкой автора Языки: русский",12,12,ok
Опись 1,1,0084,84,"Статья К.Э. Циолковского ""Альбом космических путешествий"". Вид материала: статья Способ воспроизведения: машинопись с правкой автора Языки: русский",162,162,ok
