opis_page,delo,pages_expected,status,title,source_url
1,73,21,ok,"Статья К.Э. Циолковского ""Реактивное движение и его успехи""",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=73
1,114,20,ok,"Статья К.Э. Циолковского ""Особый прием достижения высших скоростей реактивными летательными машинами""",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=114
1,40,19,ok,"Статья К.Э. Циолковского ""Космическая ракета. Завоевание Солнечной системы""",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=40
1,58,18,ok,"Статья К.Э. Циолковского ""Реактивный аэроплан""",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=58
1,68,17,ok,"Статья К.Э. Циолковского ""Звездоплавателям""",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=68
1,33,16,ok,"Статья К.Э. Циолковского ""Реактивный прибор, как средство полета в пустоте и в атмосфере"". Опубликована в журнале ""Воздухоплаватель"" [№2 за 1910 г., стр. 110-113]",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=33
1,88,16,ok,"Перечень картин К.Э. Циолковского, иллюстрирующих межпланетные путешествия с помощью ракеты и жизнь вне Земли, в Совкино. Надписи к картинам и замечания",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=88
1,118,16,ok,"Статья К.Э. Циолковского ""Авиация, воздухоплавание и ракетоплавание в 20-м веке""",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=118
1,38,13,ok,"Предисловие к повести К.Э. Циолковского ""Вне Земли"". Материал для предисловия [от меня или редакции]. Приложена машкопия с комментариями Б.Н. Воробьева",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=38
1,83,12,ok,"Статья К.Э. Циолковского ""Взрывчатые вещества для реактивного прибора [звездолета]""",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=83
1,30,11,ok,"Вычисления и формулы К.Э. Циолковского, относящиеся к вопросу о межпланетных сообщениях. [""Вопрос о вечном блаженстве""]",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=30
1,48,7,ok,"Конспективные записи К.Э. Циолковского ""Ракета. Взрывная труба"" расчетов и формул",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=48
1,55,7,ok,"Черновой набросок К.Э. Циолковского ""Скорый поезд"" к работе ""Труды о космической ракете""",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=55
1,119,7,ok,"Фрагменты статьи К.Э. Циолковского, посвященной космическим полетам",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=119
1,120,7,ok,"Таблицы К.Э. Циолковского, относящиеся к движению ракеты",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=120
1,94,6,ok,План К.Э. Циолковского к описанию путешествия на ракете вне Земли для кинофильма,https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=94
1,39,5,ok,"Набросок статьи К.Э. Циолковского ""План ""Ракеты""",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=39
1,42,5,ok,"Формулы К.Э. Циолковского ""Атмосфера - ракета - труба""",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=42
1,52,5,ok,"Программа лекций К.Э. Циолковского ""Космическая ракета или снаряд для вселенских путешествий и иных целей""",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=52
1,53,4,ok,Письмо [О приоритете К.Э. Циолковского в вопросе о возвращении ракеты на Землю без затраты взрывчатого вещества],https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=53
1,96,4,ok,Набросок программы работ К.Э. Циолковского в РНИИ [Реактивном научно-исследовательском Институте],https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=96
1,77,3,ok,"Рисунки К.Э. Циолковского ""Скорый трамвайный вагон [для целей звездоплавания]""",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=77
