portal_id,opis_code,delo,dates_raw,year_from,year_to,conjectural,material,reproduction
506,1,0503,26.08.1933,1933,1933,0,статья,"автограф, машинопись с правкой автора"
507,1,0504,5.09.1933,1933,1933,0,статья,машинопись
508,1,0505,5.09.1933,1933,1933,0,статья,машинопись с правкой автора
509,1,0506,18.12.1933,1933,1933,0,статья,автограф
510,1,0507,26.12.1933,1933,1933,0,отрывок статьи,машинопись
511,1,0508,27.12.1933,1933,1933,0,статья,машинопись с правкой автора
512,1,0509,1933 г.,1933,1933,0,статья,машинопись
513,1,0510,15.01.1934,1934,1934,0,статья,машинопись с правкой автора
514,1,0511,24.01.1934,1934,1934,0,статья,автограф
515,1,0512,26.01.1934,1934,1934,0,статья,машинопись с правкой автора
516,1,0513,29.01.1934,1934,1934,0,статья,"автограф, машинопись"
517,1,0514,5.02.1934,1934,1934,0,статья,машинопись с правкой автора
518,1,0515,6.02.1934,1934,1934,0,статья,машинопись с правкой автора
519,1,0516,25.02.1934,1934,1934,0,статья,машинопись с правкой автора
520,1,0517,25.02.1934,1934,1934,0,статья,машинопись с правкой автора
521,1,0518,12.03.1934,1934,1934,0,статья,"автограф, машинопись"
522,1,0519,12.03.1934,1934,1934,0,статья,машинопись с правкой автора
523,1,0520,24.03.1934,1934,1934,0,заметка,машинопись с правкой автора
524,1,0521,29.03.1934,1934,1934,0,статья,машинопись
525,1,0522,март 1934 г.,1934,1934,0,статья,машинопись с правкой автора
526,1,0523,март 1934 г.,1934,1934,0,статья,машинопись с правкой автора
527,1,0524,24.04.1934,1934,1934,0,статья,машинопись
528,1,0525,24.04.1934,1934,1934,0,статья,автограф
529,1,0526,2.05.1934,1934,1934,0,статья,машинопись с правкой автора
530,1,0527,20.06.1934,1934,1934,0,статья,автограф
531,1,0528,9.07.1934,1934,1934,0,статья,машинопись
532,1,0529,4.08.1934,1934,1934,0,статья,машинопись
533,1,0530,12.08.1934,1934,1934,0,статья,машинопись с правкой автора
534,1,0531,12.08.1934,1934,1934,0,заметка,машинопись с правкой автора
535,1,0532,23.10.1934,1934,1934,0,статья,"автограф, машинопись"
536,1,0533,4.01.1935,1935,1935,0,статья,машинопись с правкой автора
537,1,0534,8.05.1935,1935,1935,0,статья,"автограф, машинопись с правкой автора"
538,1,0535,[1935 г.],1935,1935,1,статья,"автограф, машинопись"
539,1,0536,1935 г.,1935,1935,0,Способ воспроизведения: автограф,автограф
540,1,0537,1935 г.,1935,1935,0,заметка,автограф
541,1,0538,1935 г.,1935,1935,0,заметка,автограф
542,1,0539,1935 г.,1935,1935,0,фрагменты работ,автограф
543,1,0540,[не ранее 1911 г.],1911,1911,1,статья,автограф
544,1,0541,22.01.1920,1920,1920,0,обзор,автограф
545,1,0542,1920 г.,1920,1920,0,обзор,автограф
546,1,0543,17.06.1922,1922,1922,0,обзор,автограф
547,1,0544,лето 1922 г.,1922,1922,0,очерк,машинопись с правкой автора
548,1,0545,1923 г. - не ранее 1929 г.,1923,1929,0,записки,"автограф, машинопись"
549,1,0546,14.05.1926,1926,1926,0,очерк,автограф
550,1,0547,29.09.1926,1926,1926,0,обзор,автограф
551,1,0548,[1927 г.],1927,1927,1,обзор,машинопись с правкой автора
552,1,0549,21.05.1932,1932,1932,0,обзор,автограф
553,1,0550,август 1932 г.,1932,1932,0,обзор,машинопись с правкой автора
554,1,0551,1932 г.,1932,1932,0,список работ,машинопись с правкой автора
555,1,0552,[не ранее 1932 г.],1932,1932,1,набросок,автограф
556,1,0553,3.05.1933,1933,1933,0,список работ,машинопись с правкой автора
557,1,0554,15.07.1934,1934,1934,0,перечень статей,"автограф, машинопись с правкой автора"
558,1,0555,22.04.1935,1935,1935,0,интервью,машинопись
559,1,0556,1935 г.,1935,1935,0,список работ,автограф
560,1,0557,1935 г.,1935,1935,0,предисловие,автограф
561,1,0558,1932 г. - 1935 г.,1932,1935,0,предисловие,машинопись с правкой автора
562,1,0559,1935 г.,1935,1935,0,фрагмент заметки,автограф
563,1,0560,1935 г.,1935,1935,0,набросок,автограф
564,1,0561,январь 1923 г.,1923,1923,0,отзыв,автограф
565,1,0562,27.01.1924,1924,1924,0,отзыв,автограф
566,1,0563,27.02.1932,1932,1932,0,отзыв,"автограф, машинопись"
567,1,0563а,30.07.1932,1932,1932,0,набросок,машинопись
568,1,0564,25.08.1935,1935,1935,0,отзыв,машинопись
569,1,0565,1935 г.,1935,1935,0,отзыв,"автограф, машинопись"
570,1,0566,1902 г. - 1933 г.,1902,1933,0,"заметки, записки, фрагменты, черновики",автограф
571,1,0567,1922 г. - 1933 г.,1922,1933,0,черновики,автограф
572,1а,0001,1935,1935,1935,0,отчёт,"автограф, машинопись"
573,1а,0002,1936,1936,1936,0,инструкция,машинопись с правкой автора
574,1а,0003,1936,1936,1936,0,инструкция,машинопись с правкой автора
575,1а,0004,1936 - 1937,1936,1937,0,проект,машинопись с правкой автора
576,1а,0005,1936 - 1937,1936,1937,0,проект,машинопись с правкой автора
577,1а,0006,1936 - 1937,1936,1937,0,проект,автограф
578,1а,0007,1937,1937,1937,0,проект,"автограф, машинопись с правкой автора"
579,1а,0008,1937,1937,1937,0,объяснительная записка,машинопись с правкой автора
580,1а,0009,1937,1937,1937,0,проект,машинопись с правкой автора
581,1а,0010,1937,1937,1937,0,проект,автограф
582,1а,0011,1937,1937,1937,0,чертежи,кальки
583,1а,0012,1937,1937,1937,0,расчёт,автограф
584,1а,0013,1937,1937,1937,0,"таблицы, чертежи",автограф
585,1а,0014,[1937],1937,1937,1,расчёт,автограф
586,1а,0015,[1937],1937,1937,1,расчёт,автограф
587,1а,0016,[1937],1937,1937,1,"таблицы, чертежи",автограф
588,1а,0017,1937 - 1938,1937,1938,0,"таблицы, чертежи",автограф
589,1а,0018,1937 - 1938,1937,1938,0,чертежи,автограф
590,1а,0019,1938,1938,1938,0,чертежи,автограф
591,1а,0020,1938,1938,1938,0,"таблицы, чертежи",автограф
592,1а,0021,1938,1938,1938,0,"таблицы, чертежи",автограф
593,1а,0022,1938,1938,1938,0,чертежи,автограф
594,1а,0023,1938,1938,1938,0,чертежи,автограф
595,1а,0024,б/д,,,0,"таблицы, чертежи",автограф
596,2,0001,14.07.1919 - 29.07.1919,1919,1919,0,автобиография,автограф
597,2,0002,не позднее 1924,1924,1924,0,автобиография,автограф
598,2,0003,1927,1927,1927,0,автобиография,"автограф, машинопись"
599,2,0004,01.05.1928,1928,1928,0,автобиография,"автограф, машинопись"
600,2,0005,23.07.1931,1931,1931,0,анкета,автограф
601,2,0005а,[январь 1932],1932,1932,1,учётная карточка,фотокопия
602,2,0006,12.05.1932,1932,1932,0,автобиография,машинопись с правкой автора
603,2,0007,19.09.1932 - 1933,1932,1933,0,автобиография,"автограф, машинопись"
604,2,0008,14.10.1932,1932,1932,0,автобиография,машинопись с правкой автора
605,2,0009,[1932],1932,1932,1,анкета,автограф
606,2,0010,не ранее 05.03.1933,1933,1933,0,автобиография,"автограф, машинопись с правкой автора"
607,2,0011,18.07.1934,1934,1934,0,автобиография,"автограф, машинопись с правкой автора"
608,2,0011а,04.11.1934,1934,1934,0,учётная карточка,фотокопия
