portal_id,opis_code,delo,dates_raw,year_from,year_to,conjectural,material,reproduction
820,3,0013,26.02.1919 - 08.10.1930,1919,1930,0,описание,"автограф, машинопись"
821,3,0014,02.05.1919,1919,1919,0,протокол,машинопись
822,3,0015,24.02.1919 - 24.05.1926,1919,1926,0,письма,"автограф, машинопись"
823,3,0016,26.08.1921 - 15.12.1925,1921,1925,0,письма,"автограф, машинопись"
824,3,0017,09.01.1926 - 22.06.1928,1926,1928,0,письма,"автограф, машинопись"
825,3,0018,14.03.1921 - 11.05.1935,1921,1935,0,письма,"автограф, машинопись"
826,3,0019,24.08.1923,1923,1923,0,программа,автограф
827,3,0020,01.05.1923 - 09.04.1924,1923,1924,0,письма,машинопись
828,3,0021,01.10.1924 - 21.07.1927,1924,1927,0,доклад,"автограф, машинопись"
829,3,0022,03.05.1925,1925,1925,0,выдержки,машинопись
830,3,0023,16.07.1925,1925,1925,0,протокол,машинопись
831,3,0024,23.07.1925,1925,1925,0,письмо,автограф
832,3,0025,27.07.1925 - 04.08.1925,1925,1925,0,ответы,автограф
833,3,0026,02.12.1925 - 25.08.1935,1925,1935,0,выписки,машинопись
834,3,0027,28.04.1926,1926,1926,0,письма,автограф
835,3,0028,06.05.1926,1926,1926,0,ответ,автограф
836,3,0029,18.08.1926 - 27.08.1926,1926,1926,0,письма,автограф
837,3,0030,31.05.1926,1926,1926,0,письмо,автограф
838,3,0031,17.10.1926,1926,1926,0,записка,автограф
839,3,0032,28.10.1926,1926,1926,0,письмо,автограф
840,3,0033,17.11.1926,1926,1926,0,заключение,"автограф, машинопись"
841,3,0034,[1926],1926,1926,1,ответы,машинопись с правкой автора
842,3,0035,1926 - 18.01.1927,1926,1927,0,протоколы,"автограф, машинопись"
843,3,0036,18.01.1927 - 01.02.1927,1927,1927,0,выписка,машинопись
844,3,0037,04.02.1927 - 06.04.1927,1927,1927,0,ответы,автограф
845,3,0038,14.02.1927 - 21.03.1927,1927,1927,0,выписка,"автограф, машинопись"
846,3,0039,30.03.1927,1927,1927,0,письмо,"автограф, машинопись"
847,3,0040,05.04.1927,1927,1927,0,письмо,машинопись
848,3,0041,09.04.1927,1927,1927,0,письмо,машинопись
849,3,0042,12.04.1927,1927,1927,0,заключение,машинопись
850,3,0043,14.04.1927 - 01.07.1927,1927,1927,0,заявление,"автограф, машинопись"
851,3,0044,21.04.1927,1927,1927,0,письмо,"автограф, машинопись"
852,3,0045,28.10.1927 - 09.11.1927,1927,1927,0,стенограммы,"автограф, машинопись"
853,3,0046,03.11.1927 - 06.11.1927,1927,1927,0,ответы,автограф
854,3,0047,06.12.1927 - 20.12.1927,1927,1927,0,письма,машинопись
855,3,0048,24.01.1928 - 31.05.1928,1928,1928,0,письма,машинопись
856,3,0049,25.01.1928 - 1928,1928,1928,0,ответ,"автограф, машинопись"
857,3,0050,15.02.1928,1928,1928,0,сообщения,машинопись
858,3,0050а,1928,1928,1928,0,запись беседы,рукопись
859,3,0051,25.05.1928 - 23.02.1930,1928,1930,0,заявления,"автограф, машинопись"
860,3,0052,24.12.1929,1929,1929,0,письмо,машинопись
861,3,0053,02.03.1930,1930,1930,0,заявление,"автограф, машинопись"
862,3,0054,20.03.1930,1930,1930,0,письмо,"автограф, машинопись"
863,3,0055,05.04.1930,1930,1930,0,письмо,машинопись
864,3,0056,27.12.1930,1930,1930,0,письмо,"автограф, машинопись"
865,3,0057,25.01.1931,1931,1931,0,заметка,газетные вырезки
866,3,0058,22.03.1931 - 07.04.1931,1931,1931,0,письма,"автограф, машинопись"
867,3,0059,16.06.1931 - 10.11.1931,1931,1931,0,письма,"автограф, машинопись"
868,3,0060,[1931],1931,1931,1,справка,рукопись
869,3,0061,09.02.1932,1932,1932,0,доклад,машинопись с правкой автора
870,3,0062,09.02.1932 - 20.04.1932,1932,1932,0,письма,"автограф, машинопись"
871,3,0063,29.02.1932 - 01.02.1933,1932,1933,0,письма,"автограф, машинопись с правкой автора"
872,3,0064,14.03.1932,1932,1932,0,письмо,машинопись
873,3,0065,23.03.1932,1932,1932,0,протокол,машинопись
874,3,0066,28.04.1932,1932,1932,0,письмо,машинопись
875,3,0067,05.07.1932,1932,1932,0,сообщение,автограф
876,3,0068,08.10.1932 - 20.10.1932,1932,1932,0,договор,"автограф, машинопись с правкой автора"
877,3,0069,28.02.1933,1933,1933,0,письмо,машинопись с правкой автора
878,3,0070,20.03.1933,1933,1933,0,письмо,машинопись
879,3,0071,19.04.1933,1933,1933,0,план,"автограф, машинопись"
880,3,0072,21.05.1933,1933,1933,0,протокол,машинопись
881,3,0073,Май 1933,1933,1933,0,записка,автограф
882,3,0074,Май 1933,1933,1933,0,тезисы,машинопись
883,3,0075,10.06.1933 - 11.06.1933,1933,1933,0,чертежи,синька
884,3,0076,23.06.1933,1933,1933,0,протокол,машинопись
885,3,0077,22.08.1933,1933,1933,0,доклад,машинопись
886,3,0078,13.10.1933 - 15.10.1933,1933,1933,0,отзыв,"автограф, машинопись"
887,3,0079,1933,1933,1933,0,письмо,машинопись
888,3,0080,13.11.1933,1933,1933,0,письмо,машинопись
889,3,0081,18.11.1933 - 03.02.1934,1933,1934,0,письма,"автограф, машинопись"
890,3,0083,31.01.1934,1934,1934,0,беседа,машинопись
891,3,0084,1934,1934,1934,0,записка,"автограф, машинопись"
892,3,0085,27.02.1934,1934,1934,0,письмо,машинопись
893,3,0086,19.02.1934,1934,1934,0,заявление,машинопись
894,3,0087,26.02.1934,1934,1934,0,заметка,"газетные вырезки, машинопись"
895,3,0091,08.09.1914 - 19.09.1914,1914,1914,0,письма,машинопись
896,3,0092,12.09.1924 - 15.12.1929,1924,1929,0,постановление,типографская печать
897,3,0093,13.10.1927 - 03.11.1930,1927,1930,0,патент,"автограф, машинопись, типографская печать"
898,3,0094,10.12.1929 - 28.06.1930,1929,1930,0,описание,"машинопись, типографская печать"
899,3,0095,08.09.1933 - 14.03.1934,1933,1934,0,письма,"автограф, машинопись"
900,3,0096,25.12.1930 - 08.02.1935,1930,1935,0,письма,"автограф, машинопись"
901,3,0097,27.07.1934,1934,1934,0,письмо,газетные вырезки
902,3,0098,29.09.1934,1934,1934,0,письмо,машинопись
903,3,0099,01.06.1935 - 02.06.1935,1935,1935,0,письмо,машинопись
904,3,0100,б/д,,,0,карта,типографская печать
905,3,0101,б/д,,,0,телеграмма,автограф
906,3,0102,12.05.1905,1905,1905,0,письмо,"автограф, машинопись"
907,3,0102a,29.04.1924 - 09.08.1924,1924,1924,0,письма,автограф
908,3,0103,21.08.1924 - 08.09.1924,1924,1924,0,письма,автограф
909,3,0104,21.04.1928 - 25.04.1928,1928,1928,0,письма,автограф
910,3,0105,21.10.1929 - 09.02.1931,1929,1931,0,описание,"автограф, машинопись с правкой автора"
911,3,0106,31.05.1933 - 23.06.1933,1933,1933,0,письма,машинопись с правкой автора
912,3,0107,24.06.1934 - 09.07.1935,1934,1935,0,письма,"автограф, машинопись"
913,3,0108,07.02.1934 - 17.07.1935,1934,1935,0,письма,"автограф, машинопись"
914,3,0110,05.10.1897 - 26.03.1902,1897,1902,0,письма,"автограф, машинопись"
915,3,0111,17.12.1897,1897,1897,0,письмо,автограф
916,3,0112,22.09.1899 - 30.01.1902,1899,1902,0,выписки,"машинопись, рукопись"
917,3,0113,10.03.1914 - 15.03.1914,1914,1914,0,письма,"автограф, машинопись"
918,3,0114,05.09.1917,1917,1917,0,письмо,машинопись
919,3,0115,23.11.1918 - 28.11.1918,1918,1918,0,письма,"автограф, машинопись"
920,3,0116,12.10.1919,1919,1919,0,письмо,"автограф, машинопись"
921,3,0117,30.11.1921 - 24.04.1934,1921,1934,0,запросы,"автограф, машинопись"
922,3,0118,25.07.1925,1925,1925,0,письмо,автограф
923,3,0119,25.02.1928 - 26.03.1934,1928,1934,0,письма,"автограф, машинопись, типографская печать"
924,3,0120,21.11.1929,1929,1929,0,письмо,"автограф, машинопись"
925,3,0121,11.02.1931,1931,1931,0,обращение,автограф
926,3,0122,25.10.1932,1932,1932,0,письмо,машинопись
927,3,0123,15.03.1934 - 01.04.1934,1934,1934,0,письмо,машинопись
928,3,0124,23.08.1934,1934,1934,0,письмо,"автограф, машинопись"
929,3,0125,16.02.1935 - 02.03.1935,1935,1935,0,письмо,"автограф, машинопись, типографская печать"
930,3,0126,11.06.1936,1936,1936,0,письмо,"автограф, машинопись"
931,3,0127,13.01.1925,1925,1925,0,письмо,машинопись
932,3,0128,22.10.[1925],1925,1925,1,телеграммы,Языки: русский
933,3,0129,01.08.1918 - 11.07.1919,1918,1919,0,письма,"автограф, машинопись"
934,3,0130,30.07.1918 - 11.07.1919,1918,1919,0,письма,"автограф, машинопись"
935,3,0131,30.07.1918 - 11.07.1919,1918,1919,0,выписки,машинопись
936,3,0132,01.09.1905,1905,1905,0,письмо,машинопись
937,3,0133,05.12.1913,1913,1913,0,письмо,автограф
938,3,0134,18.05.1922,1922,1922,0,письмо,машинопись
939,3,0135,25.09.1925 - 10.12.1925,1925,1925,0,письма,"автограф, машинопись, типографская печать"
940,3,0136,18.10.1926,1926,1926,0,письмо,"автограф, машинопись"
941,3,0137,01.03.1927 - 12.12.1927,1927,1927,0,письма,"автограф, машинопись"
942,3,0138,10.02.1928 - 21.03.1928,1928,1928,0,письма,"автограф, машинопись"
943,3,0139,19.04.1928 - 27.04.1928,1928,1928,0,письма,машинопись
944,3,0140,07.08.1928 - 10.08.1928,1928,1928,0,письмо,"автограф, машинопись"
945,3,0141,18.06.1930 - 15.12.1932,1930,1932,0,письма,"автограф, машинопись с правкой автора"
946,3,0142,28.05.1931,1931,1931,0,письмо,автограф
947,3,0143,22.06.1931,1931,1931,0,письмо,автограф
948,3,0144,12.10.1931,1931,1931,0,письмо,машинопись
949,3,0145,27.04.1932 - 04.02.1934,1932,1934,0,письмо,"автограф, машинопись"
950,3,0146,22.06.1932 - 15.07.1932,1932,1932,0,письма,машинопись
951,3,0147,05.03.1933 - 28.07.1933,1933,1933,0,письма,автограф
952,3,0148,07.07.1933,1933,1933,0,письмо,автограф
953,3,0149,20.10.1933 - 22.10.1933,1933,1933,0,письмо,"автограф, машинопись"
954,3,0150,14.03.1934,1934,1934,0,письмо,автограф
955,3,0151,1934,1934,1934,0,записка,автограф
956,3,0152,17.12.1934 - 04.09.1935,1934,1935,0,письма,"автограф, машинопись"
957,3,0153,19.12.1934 - 28.05.1935,1934,1935,0,письма,"автограф, машинопись"
958,3,0154,28.12.1934 - 02.06.1935,1934,1935,0,письма,"автограф, машинопись"
959,3,0155,10.06.1935,1935,1935,0,письмо,машинопись
960,3,0156,23.04.1935 - 10.05.1935,1935,1935,0,письма,"автограф, машинопись"
961,3,0158,31.03.1933,1933,1933,0,письма,машинопись
962,3,0159,21.03.1927 - 05.02.1930,1927,1930,0,письма,машинопись
963,3,0160,27.06.1932 - 03.06.1935,1932,1935,0,письма,"автограф, машинопись"
964,3,0161,17.08.1932 - 21.10.1933,1932,1933,0,письма,автограф
965,3,0162,02.02.1932 - 02.09.1935,1932,1935,0,письма,"автограф, машинопись"
966,3,0163,12.03.1931 - 02.02.1935,1931,1935,0,письма,"автограф, машинопись"
967,3,0164,01.06.1924 - 15.12.1925,1924,1925,0,письма,"автограф, машинопись"
968,3,0165,27.09.1933,1933,1933,0,письмо,машинопись
969,3,0166,25.04.1928,1928,1928,0,письмо,машинопись
970,3,0167,28.03.1933 - 20.12.1934,1933,1934,0,письмо,машинопись
971,3,0168,28.03.1933 - 20.12.1934,1933,1934,0,письмо,"автограф, машинопись"
972,3,0169,26.07.1928,1928,1928,0,письмо,машинопись
973,3,0170,18.07.1930,1930,1930,0,письмо,машинопись
974,3,0171,20.11.1930 - 04.12.1930,1930,1930,0,письма,"автограф, машинопись"
975,3,0172,14.07.1933,1933,1933,0,письмо,машинопись
976,3,0173,28.11.1926 - 23.02.1932,1926,1932,0,письма,"автограф, машинопись"
977,3,0174,29.03.1933 - 17.06.1933,1933,1933,0,письма,"автограф, машинопись"
978,3,0175,04.11.1925 - 18.07.1928,1925,1928,0,письма,машинопись
979,3,0176,22.04.1933 - 16.05.1935,1933,1935,0,письма,машинопись
980,3,0177,13.09.1930 - 03.09.1931,1930,1931,0,письма,"автограф, машинопись"
981,3,0178,08.09.1924 - 07.10.1933,1924,1933,0,письма,машинопись
982,3,0179,05.04.1933,1933,1933,0,письмо,автограф
983,3,0180,01.01.1935 - 13.06.1935,1935,1935,0,письма,машинопись
984,3,0181,24.06.1924 - 06.07.1926,1924,1926,0,письма,"автограф, машинопись"
985,3,0182,15.01.1935 - 23.04.1935,1935,1935,0,письма,машинопись
986,3,0183,19.05.1925,1925,1925,0,письмо,машинопись
987,3,0184,09.04.1932,1932,1932,0,письмо,автограф
988,3,0185,08.05.1935 - 07.06.1935,1935,1935,0,письма,машинопись
989,3,0186,15.06.1924,1924,1924,0,письмо,автограф
990,3,0187,03.07.1934 - 02.08.1934,1934,1934,0,"письмо, телеграмма",машинопись
991,3,0188,16.02.1934 - 19.02.1934,1934,1934,0,письмо,автограф
992,3,0189,29.06.1928 - 02.09.1935,1928,1935,0,письмо,"автограф, машинопись"
993,3,0190,26.07.1934,1934,1934,0,письмо,машинопись
994,3,0191,23.04.1935 - 09.07.1935,1935,1935,0,письмо,"автограф, машинопись"
995,3,0192,21.07.1928 - 14.05.1935,1928,1935,0,письма,"автограф, машинопись"
996,3,0193,16.05.1928,1928,1928,0,письмо,машинопись
997,3,0194,22.06.1935 - 20.07.1935,1935,1935,0,"письма, телеграммы",машинопись
998,3,0195,14.09.1933,1933,1933,0,письмо,автограф
999,3,0196,29.08.1935,1935,1935,0,письмо,машинопись
1000,3,0197,17.02.1919 - 29.12.1926,1919,1926,0,письма,"автограф, машинопись"
1001,3,0198,21.01.1927 - 18.12.1927,1927,1927,0,письма,"автограф, машинопись"
1002,3,0199,19.02.1928 - 26.06.1935,1928,1935,0,письма,машинопись
1003,3,0200,14.02.1927 - 16.04.1934,1927,1934,0,письма,"автограф, машинопись"
1004,3,0201,29.05.1914 - 05.02.1935,1914,1935,0,конверты,Языки: русский
1005,3,0202,07.05.1935,1935,1935,0,конверты,Языки: русский
1006,4,0001,4.04.1921,1921,1921,0,письмо,автограф
1007,4,0001а,12.02.1911 - 17.07.1923,1911,1923,0,письмо,"автограф, машинопись"
1008,4,0001б,27.05.1919,1919,1919,0,письмо,автограф
1009,4,0002,12.12.1919 - 12.04.1928,1919,1928,0,письма,"автограф, машинопись"
1010,4,0003,27.07.1928,1928,1928,0,письмо,"автограф, машинопись"
1011,4,0003а,10.06.1931,1931,1931,0,письмо,автограф
1012,4,0004,4.05.1920 - 16.02.1931,1920,1931,0,письма,"автограф, машинопись"
1013,4,0005,1.08.1932,1932,1932,0,письмо,автограф
1014,4,0006,21.05.1934,1934,1934,0,письмо,машинопись
1015,4,0007,[не ранее 1933],1933,1933,1,письмо,автограф
1016,4,0007а,15.11.1931,1931,1931,0,письма,"автограф, машинопись"
1017,4,0008,[сентябрь 1932],1932,1932,1,письмо,"автограф, машинопись"
1018,4,0009,15.03.1931,1931,1931,0,письмо,автограф
1019,4,0010,22.02.1910 - 31.12.1911,1910,1911,0,письма,"автограф, машинопись"
1020,4,0010а,20.06.1933 - 5.06.1935,1933,1935,0,письма,автограф
1021,4,0011,[не ранее 5.07.1928],1928,1928,1,письмо,"автограф, машинопись"
1022,4,0012,18.04.1924 - 30.04.1933,1924,1933,0,письма,автограф
1023,4,0012а,1934,1934,1934,0,письмо,"автограф, типографская печать"
1024,4,0013,9.05.1932 - 15.12.1934,1932,1934,0,письма,"автограф, машинопись"
1025,4,0014,[27.06.1927] - 24.04.1930,1927,1930,1,письма,"автограф, машинопись"
1026,4,0015,12.12.1934 - 22.06.1935,1934,1935,0,письма,"автограф, машинопись"
1027,4,0015а,14.12.1897,1897,1897,0,письмо,"автограф, газетные вырезки"
1028,4,0016,14.05.1929,1929,1929,0,письмо,автограф
1029,4,0016а,14.09.1890 - 18.09.1890,1890,1890,0,письма,автограф
1030,4,0017,8.09.1913 - 1934,1913,1934,0,письма,"автограф, машинопись"
1031,4,0018,22.06.1903,1903,1903,0,письмо,автограф
1032,4,0019,5.06.1927 - 6.09.1932,1927,1932,0,письма,"автограф, машинопись"
1033,4,0020,21.11.1927 - 7.09.1933,1927,1933,0,письма,"автограф, машинопись"
1034,4,0020а,22.04.1914,1914,1914,0,письмо,"автограф, машинопись"
1035,4,0021,[не ранее 5.06.1925] - 8.04.1935,1925,1935,1,письма,"автограф, машинопись"
1036,4,0021а,15.06.1926,1926,1926,0,письмо,машинопись
1037,4,0021б,15.06.1925 - 1.12.1925,1925,1925,0,письмо,автограф
1038,4,0022,6.04.1932 - 15.05.1935,1932,1935,0,письма,"автограф, машинопись"
1039,4,0023,21.09.1932,1932,1932,0,письмо,автограф
1040,4,0024,5.09.1891 - 16.10.1891,1891,1891,0,письма,автограф
1041,4,0025,23.09.1931 - 17.02.1933,1931,1933,0,письма,"автограф, машинопись"
1042,4,0025а,11.05.1931,1931,1931,0,письмо,автограф
1043,4,0025б,21.06.1934,1934,1934,0,письмо,автограф
1044,4,0026,18.04.1926,1926,1926,0,письмо,автограф
1045,4,0027,10.06.1934,1934,1934,0,письмо,автограф
1046,4,0028,2.02.1922 - 9.06.1934,1922,1934,0,письма,"автограф, машинопись"
1047,4,0029,март 1927 - 4.12.1929,1927,1929,0,письма,"автограф, машинопись"
1048,4,0030,4.07.1934,1934,1934,0,письмо,"автограф, машинопись"
1049,4,0031,28.05.1893 - 7.06.1932,1893,1932,0,письма,автограф
1050,4,0031а,25.02.1926 - 29.03.1933,1926,1933,0,письмо,автограф
1051,4,0032,16.02.1933 - декабрь 1934,1933,1934,0,письмо,"автограф, машинопись"
1052,4,0033,3.10.1931 - 25.11.1934,1931,1934,0,письмо,"автограф, машинопись"
1053,4,0034,октябрь 1934,1934,1934,0,письмо,автограф
1054,4,0035,9.01.1934 - 18.02.1934,1934,1934,0,письма,автограф
1055,4,0036,15.04.1932 - 4.10.1933,1932,1933,0,письма,автограф
1056,4,0037,[28.03].1935,1935,1935,1,письмо,автограф
1057,4,0038,1.08.1934,1934,1934,0,письмо,автограф
1058,4,0039,5.03.1931,1931,1931,0,письмо,автограф
1059,4,0040,5.08.1927,1927,1927,0,письмо,автограф
1060,4,0041,16.08.1934 - 22.09.1934,1934,1934,0,письма,автограф
1061,4,0042,31.08.1931,1931,1931,0,письмо,автограф
1062,4,0043,12.12.1927 - 28.02.1928,1927,1928,0,письма,автограф
1063,4,0044,26.03.1933,1933,1933,0,письма,автограф
1064,4,0046,3.01.1928,1928,1928,0,письмо,автограф
1065,4,0047,24.06.1930 - 28.04.1935,1930,1935,0,письма,автограф
1066,4,0048,9.07.1919,1919,1919,0,письмо,автограф
1067,4,0049,[21.02.1919],1919,1919,1,письмо,автограф
1068,4,0050,25.07.1927,1927,1927,0,письмо,автограф
1069,4,0051,20.03.1928 - 20.09.1935,1928,1935,0,письма,"автограф, машинопись"
1070,4,0052,10.01.1926,1926,1926,0,письмо,автограф
1071,4,0053,[2.06.]1917,1917,1917,1,письмо,автограф
1072,4,0054,[9.03.]1925,1925,1925,1,письмо,автограф
1073,4,0054а,30.11.1892,1892,1892,0,письмо,автограф
1074,4,0055,15.07.1934,1934,1934,0,письмо,автограф
1075,4,0056,11.04.1932 - 21.06.1934,1932,1934,0,письмо,автограф
1076,4,0057,15.08.1934,1934,1934,0,письмо,автограф
1077,4,0058,7.03.1934,1934,1934,0,письмо,автограф
1078,4,0059,[27.09.1917],1917,1917,1,письмо,автограф
1079,4,0060,24.05.1934 - 4.09.1935,1934,1935,0,письма,автограф
1080,4,0061,8.06.1935,1935,1935,0,письмо,автограф
1081,4,0062,3.01.1934,1934,1934,0,письмо,автограф
1082,4,0063,4.09.1930 - 12.10.1930,1930,1930,0,письма,автограф
1083,4,0064,22.01.1913 - 22.10.1930,1913,1930,0,письма,"автограф, машинопись"
1084,4,0065,18.06.1919 - 21.12.1926,1919,1926,0,письма,автограф
1085,4,0066,б/д,,,0,письмо,автограф
1086,4,0068,15.05.1935,1935,1935,0,письмо,автограф
1087,4,0069,11.11.1934,1934,1934,0,письмо,автограф
1088,4,0070,31.12.1927,1927,1927,0,письмо,автограф
1089,4,0071,7.09.1935,1935,1935,0,письмо,автограф
1090,4,0072,21.12.1916 - 20.10.1925,1916,1925,0,письма,автограф
1091,4,0073,22.09.1932,1932,1932,0,письмо,автограф
1092,4,0074,28.03.1928,1928,1928,0,письмо,автограф
1093,4,0075,4.06.1931,1931,1931,0,письмо,машинопись
1094,4,0076,17.11.1925,1925,1925,0,письмо,автограф
1095,4,0077,30.09.1930,1930,1930,0,письмо,автограф
1096,4,0078,21.09.1931 - 18.03.1932,1931,1932,0,письма,автограф
1097,4,0079,[18.04.]1928,1928,1928,1,письмо,автограф
1098,4,0080,[28.07.]1928,1928,1928,1,письма,автограф
1099,4,0081,14.04.1921 - 16.06.1921,1921,1921,0,письма,автограф
1100,4,0082,[не ранее июля 1934],1934,1934,1,письмо,автограф
1101,4,0083,18.02.1934,1934,1934,0,письмо,автограф
1102,4,0084,1.05.1934,1934,1934,0,письмо,машинопись
1103,4,0085,25.04.1930,1930,1930,0,письмо,автограф
1104,4,0086,14.01.1934,1934,1934,0,письмо,автограф
1105,4,0087,31.01.1934,1934,1934,0,письма,автограф
1106,4,0088,14.04.1935,1935,1935,0,письмо,автограф
1107,4,0089,1.12.1930,1930,1930,0,письмо,автограф
1108,4,0090,24.07.1926 - 11.11.1927,1926,1927,0,письма,автограф
1109,4,0091,17.01.1928,1928,1928,0,письмо,автограф
1110,4,0091a,27.12.1934 - 20.07.1935,1934,1935,0,письмо,"автограф, машинопись"
1111,4,0092,16.07.1935,1935,1935,0,письмо,автограф
1112,4,0093,13.12.1917,1917,1917,0,письмо,автограф
1113,4,0094,07.12.1930,1930,1930,0,письмо,автограф
1114,4,0095,10.05.1934,1934,1934,0,письмо,автограф
1115,4,0096,[18.10.]1927,1927,1927,1,письмо,автограф
1116,4,0097,[08.04.1932],1932,1932,1,письмо,автограф
1117,4,0098,22.02.1934,1934,1934,0,письмо,автограф
1118,4,0099,07.04.1935,1935,1935,0,письмо,автограф
1119,4,0099a,11.12.1926 - б/д,1926,1926,0,письма,автограф
1120,4,0100,15.05.1925 - 20.09.1925,1925,1925,0,письма,автограф
1121,4,0101,06.06.1934 - 12.06.1934,1934,1934,0,письмо,автограф
1122,4,0102,[не позднее 14.03.]1934,1934,1934,1,письмо,автограф
1123,4,0103,25.08.1934,1934,1934,0,письмо,автограф
1124,4,0104,05.09.1927,1927,1927,0,письмо,автограф
1125,4,0105,[30.03.1917],1917,1917,1,письмо,автограф
1126,4,0106,09.02.1932,1932,1932,0,письмо,автограф
1127,4,0107,24.06.1934 - [14.09.]1934,1934,1934,1,письмо,автограф
1128,4,0108,2.10.1931 - 17.09.1934,1931,1934,0,письма,автограф
1129,4,0109,10.11.1925,1925,1925,0,письмо,автограф
1130,4,0110,22.02.1928 - 6.03.1928,1928,1928,0,письма,автограф
1131,4,0111,29.07.1934,1934,1934,0,письмо,автограф
1132,4,0112,8.07.1933,1933,1933,0,письмо,автограф
1133,4,0113,26.12.1925 - 5.09.1930,1925,1930,0,письмо,автограф
1134,4,0114,27.05.1934,1934,1934,0,письмо,автограф
1135,4,0115,[20.07.1934] - [23.01.1935],1934,1935,1,письма,автограф
1136,4,0116,18.05.1934 - 14.07.1935,1934,1935,0,письма,автограф
1137,4,0117,18.11.1933,1933,1933,0,письмо,автограф
1138,4,0118,28.04.1928 - 10.05.1928,1928,1928,0,письма,автограф
1139,4,0119,26.09.1917 - 19.06.1934,1917,1934,0,письма,автограф
1140,4,0120,[2.09.]1933 - [20.04.]1934,1933,1934,1,письма,автограф
1141,4,0121,[13.09.1925],1925,1925,1,письмо,автограф
1142,4,0122,16.10.1934,1934,1934,0,письмо,автограф
1143,4,0123,28.07.1928 - 10.10.1928,1928,1928,0,письмо,автограф
1144,4,0124,19.02.1928 - 11.03.1928,1928,1928,0,письмо,автограф
1145,4,0125,11.11.1929 - 30.01.1934,1929,1934,0,письма,"автограф, машинопись"
1146,4,0126,[2.01.1931],1931,1931,1,письмо,автограф
1147,4,0127,1.11.1930 - 25.11.1930,1930,1930,0,письма,автограф
1148,4,0128,3.01.1927,1927,1927,0,письмо,автограф
1149,4,0129,8.04.1935,1935,1935,0,письмо,автограф
1150,4,0130,9.12.1933,1933,1933,0,письмо,автограф
1151,4,0131,26.07.1934 - 23.04.1935,1934,1935,0,письмо,"автограф, машинопись"
1152,4,0132,6.08.1935 - 11.08.1935,1935,1935,0,письмо,автограф
1153,4,0133,11.02.1928,1928,1928,0,письмо,автограф
1154,4,0134,7.07.1917,1917,1917,0,письмо,автограф
1155,4,0135,21.08.1931 - 18.01.1932,1931,1932,0,письмо,автограф
1156,4,0136,20.07.1934,1934,1934,0,письмо,автограф
1157,4,0137,30.01.1935 - 24.02.1935,1935,1935,0,письма,автограф
1158,4,0138,20.05.1934 - 26.05.1934,1934,1934,0,письма,автограф
1159,4,0139,16.10.1927 - 15.12.1927,1927,1927,0,письмо,автограф
1160,4,0140,23.02.1935 - 6.07.1935,1935,1935,0,письма,автограф
1161,4,0141,12.11.1935,1935,1935,0,письмо,автограф
1162,4,0142,26.02.1934,1934,1934,0,письмо,автограф
1163,4,0143,30.10.1927,1927,1927,0,письмо,машинопись
1164,4,0144,17.03.1935,1935,1935,0,письмо,автограф
1165,4,0145,6.05.1926,1926,1926,0,письмо,автограф
1166,4,0146,27.02.1934,1934,1934,0,письмо,машинопись
1167,4,0147,6.10.1926,1926,1926,0,письмо,автограф
1168,4,0148,3.11.1930,1930,1930,0,письмо,автограф
1169,4,0149,23.09.1919 - 13.02.1931,1919,1931,0,письма,автограф
1170,4,0150,19.12.1925,1925,1925,0,письмо,автограф
1171,4,0151,[28.02.1928],1928,1928,1,письмо,автограф
1172,4,0152,6.02.1935,1935,1935,0,письмо,автограф
1173,4,0153,12.11.1934 - 3.02.1935,1934,1935,0,письма,автограф
1174,4,0154,26.05.1928 - 28.02.1928,1928,1928,0,письмо,автограф
1175,4,0155,9.11.1925 - 28.03.1928,1925,1928,0,письма,автограф
1176,4,0156,4.01.1926,1926,1926,0,письмо,автограф
1177,4,0157,26.01.1926 - 23.08.1935,1926,1935,0,письма,"автограф, машинопись"
1178,4,0158,[29.04.1930],1930,1930,1,письмо,автограф
1179,4,0159,4.10.1934,1934,1934,0,письмо,автограф
1180,4,0160,8.04.1935,1935,1935,0,письмо,автограф
1181,4,0161,30.10.1913,1913,1913,0,письмо,автограф
1182,4,0162,8.05.1931 - 2.06.1931,1931,1931,0,письма,автограф
1183,4,0163,[27.12.1931],1931,1931,1,письмо,автограф
1184,4,0164,[12.04.1923] - 27.09.1930,1923,1930,1,письма,автограф
1185,4,0165,15.02.1917,1917,1917,0,письмо,автограф
1186,4,0166,20.02.1935 - 2.03.1935,1935,1935,0,письма,автограф
1187,4,0167,3.01.1926,1926,1926,0,письма,автограф
1188,4,0168,22.01.1931,1931,1931,0,письмо,автограф
1189,4,0169,25.11.1930 - [21.01.1933],1930,1933,1,письма,автограф
1190,4,0170,23.02.1931,1931,1931,0,письмо,автограф
1191,4,0171,12.05.1925 - 31.07.1935,1925,1935,0,письма,автограф
1192,4,0172,[23.07.]1928 - 17.08.1928,1928,1928,1,письмо,автограф
1193,4,0173,2.04.1920,1920,1920,0,письмо,автограф
1194,4,0174,13.06.1925,1925,1925,0,письмо,автограф
1195,4,0175,17.12.1927,1927,1927,0,письмо,автограф
1196,4,0176,20.02.1935,1935,1935,0,письмо,автограф
1197,4,0177,12.08.1919,1919,1919,0,письмо,автограф
