opis,delo,pages_expected,status,title,source_url
Опись 4,764,4,ok,"Письмо сотрудницы редакции журнала ""Техника молодежи"" В. Вейде к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: машинопись Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1776
Опись 4,765,3,ok,"Письмо заведующей Сергиевской школой А.А. Величко к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1777
Опись 4,766,3,ok,"Письмо П.Д. Величко к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1778
Опись 4,767,4,ok,"Письмо Степана Васильевича Верёвкина к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1779
Опись 4,768,4,ok,"Письмо ученика школы ШКМ Василия Васильевича Виноградова к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1780
Опись 4,769,4,ok,"Письмо бухгалтера Сергея Сергеевича Винокурова к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1781
Опись 4,770,3,ok,"Письмо Вл. Вихляева к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1782
Опись 4,772,4,ok,"Письмо председателя правления Бежецкого райпотребсоюза Власова к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: машинопись Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1783
Опись 4,773,3,ok,"Письмо В. Воздвиженского к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1784
Опись 4,774,4,ok,"Письмо лесовода Вл. Мих[айловича] Вознесенского к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1785
Опись 4,775,3,ok,"Письмо Станислава Войцеховича к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1786
Опись 4,776,3,ok,"Письмо П.В. Волкова к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1787
Опись 4,777,3,ok,"Письмо В. Волобуева к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1788
Опись 4,778,6,ok,"Письмо главного механика 1-го таксомоторного парка Георгия Захаровича Гаврилова к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1789
Опись 4,779,2,ok,"Письмо Ивана Антиповича Гаврилюка к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1790
Опись 4,780,5,ok,"Письмо техника Георгия Георгиевича Гангардта к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1791
Опись 4,781,5,ok,"Письмо Вас. И. Гвелесиани к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1792
Опись 4,782,5,ok,"Письмо В.П. Геннадиева к К.Э. Циолковскому в ответ на его заметку ""Кто видел Болид?». Вид материала: письмо Способ воспроизведения: автограф Языки: русский",https://www.ras.ru/ktsiolkovskyarchive/1_actview.aspx?id=1793
