stratum,delo,sheet,model,agreement,words,words_ref,uncertain,tok_in,tok_out,seconds
типичная,delo_0046,138,конвейер (нынешний),0.626,96,83,0.0291,0,0,0.0
типичная,delo_0071,003,конвейер (нынешний),0.596,304,246,0.0302,0,0,0.0
типичная,delo_0104,031,конвейер (нынешний),0.57,106,164,0.0273,0,0,0.0
типичная,delo_0041,003,конвейер (нынешний),0.56,109,123,0.1061,0,0,0.0
типичная,delo_0084,100,конвейер (нынешний),0.557,144,161,0.0481,0,0,0.0
лёгкая,delo_0064,028,gemini-3.5-flash-lite (minimal) q90,0.917,233,227,0.0357,1609,758,3.8
лёгкая,delo_0116,010,gemini-3.5-flash-lite (minimal) q90,0.886,215,196,0.0803,1618,593,3.9
лёгкая,delo_0060,009,gemini-3.5-flash-lite (minimal) q90,0.928,154,152,0.0,1637,475,3.2
лёгкая,delo_0074,013,gemini-3.5-flash-lite (minimal) q90,0.898,182,192,0.0423,1652,552,3.2
лёгкая,delo_0088,002,gemini-3.5-flash-lite (minimal) q90,0.84,98,102,0.0268,1625,272,2.5
лёгкая,delo_0068,008,gemini-3.5-flash-lite (minimal) q90,0.824,226,211,0.0226,1637,663,3.6
типичная,delo_0047,132,gemini-3.5-flash-lite (minimal) q90,0.621,130,131,0.0213,1663,380,3.2
типичная,delo_0046,138,gemini-3.5-flash-lite (minimal) q90,0.606,92,83,0.0583,1620,285,2.7
типичная,delo_0071,003,gemini-3.5-flash-lite (minimal) q90,0.594,283,246,0.0373,1625,1253,6.2
типичная,delo_0104,031,gemini-3.5-flash-lite (minimal) q90,0.579,102,164,0.0185,1637,328,4.0
типичная,delo_0041,003,gemini-3.5-flash-lite (minimal) q90,0.627,113,123,0.1587,1637,372,3.9
типичная,delo_0084,100,gemini-3.5-flash-lite (minimal) q90,0.529,130,161,0.0511,1637,639,3.8
