delo,hand,typed,words_hand,words_typed,ratio,longest_run
delo_0074,055,018,216,276,0.602,13
delo_0071,003,102,304,246,0.596,18
delo_0074,042,018,259,276,0.594,13
delo_0074,059,024,215,261,0.588,18
delo_0116,043,023,252,218,0.587,52
delo_0074,044,024,265,261,0.586,15
delo_0074,066,024,245,261,0.585,15
delo_0074,012,018,236,276,0.582,10
delo_0199,034,007,190,237,0.581,51
delo_0074,008,024,227,261,0.574,8
delo_0074,010,018,243,276,0.574,10
delo_0064,039,108,126,115,0.573,7
delo_0074,053,018,223,276,0.573,13
delo_0199,019,007,193,237,0.572,51
delo_0064,044,127,163,163,0.571,14
delo_0104,031,016,106,164,0.57,14
delo_0074,057,024,212,261,0.567,18
delo_0104,007,041,215,188,0.561,21
delo_0041,003,018,109,123,0.56,16
delo_0074,032,018,314,276,0.559,15
delo_0104,029,016,101,164,0.558,12
delo_0084,100,133,144,161,0.557,15
delo_0064,043,126,174,176,0.554,14
delo_0116,005,037,113,217,0.552,12
delo_0051,016,066,133,70,0.542,10
delo_0071,004,104,190,148,0.538,26
delo_0074,095,024,259,261,0.535,14
delo_0116,017,036,211,183,0.533,34
delo_0074,034,018,310,276,0.529,13
delo_0199,004,015,184,168,0.528,31
delo_0074,079,024,254,261,0.524,14
delo_0116,018,047,226,167,0.514,28
delo_0051,099,094,216,203,0.506,16
delo_0071,001,102,98,246,0.506,20
delo_0064,046,115,131,123,0.504,11
delo_0074,081,018,195,276,0.501,15
delo_0074,083,018,193,276,0.499,15
delo_0199,006,033,184,225,0.499,35
delo_0104,008,043,179,114,0.498,19
delo_0105,044,074,85,172,0.498,7
delo_0199,011,023,141,60,0.498,25
delo_0074,063,024,218,261,0.497,9
delo_0283,032,063,90,205,0.488,15
delo_0041,004,019,117,122,0.485,9
delo_0074,089,024,246,261,0.481,18
delo_0074,091,024,268,261,0.48,16
delo_0074,093,024,280,261,0.477,17
delo_0074,077,024,218,261,0.476,20
delo_0199,005,031,187,197,0.474,19
